name,url,city,state,degree_levels,tuition,school_type
National American University-Bellevue,http://www.national.edu/locations/bellevue-ne,Bellevue,NE,"Associates Degree, Bachelors Degree","$13,503","Private for-profit, 4-year or above"
National American University-Ellsworth AFB Extension,http://www.national.edu/locations/south-dakota/ellsworth-afb,Ellsworth Air Force Base,SD,"Associates Degree, Bachelors Degree","$6,075","Private for-profit, 4-year or above"
National American University-Rapid City,http://www.national.edu/locations/south-dakota/rapid-city,Rapid City,SD,"Associates Degree, Bachelors Degree, Certificate","$13,287","Private for-profit, 4-year or above"
National American University-Sioux Falls,http://www.national.edu/locations/south-dakota/sioux-falls,Sioux Falls,SD,"Associates Degree, Bachelors Degree, Certificate","$12,675","Private for-profit, 4-year or above"
National American University-Tulsa,http://www.national.edu/locations/oklahoma/tulsa,Tulsa,OK,"Associates Degree, Bachelors Degree","$13,071","Private for-profit, 4-year or above"
Navajo Technical University,http://www.navajotech.edu,Crownpoint,NM,"Associates Degree, Bachelors Degree, Certificate, Masters Degree","$3,400","Public, 4-year or above"
Nebraska College of Technical Agriculture,http://NCTA.UNL.EDU,Curtis,NE,"Associates Degree, Certificate","$5,026","Public, 2-year"
Nebraska Indian Community College,http://www.thenicc.edu,Macy,NE,"Associates Degree, Certificate","$4,080","Public, 2-year"
Nebraska Methodist College of Nursing & Allied Health,http://www.methodistcollege.edu,Omaha,NE,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Masters Certificate","$13,614","Private not-for-profit, 4-year or above"
Nebraska Wesleyan University,http://www.nebrwesleyan.edu/,Lincoln,NE,"Bachelors Degree, Certificate, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$28,500","Private not-for-profit, 4-year or above"
Nevada State College,http://nsc.edu,Henderson,NV,Bachelors Degree,"$4,482","Public, 4-year or above"
New England College,http://www.nec.edu/,Henniker,NH,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree","$33,900","Private not-for-profit, 4-year or above"
New England Culinary Institute,http://www.neci.edu,Montpelier,VT,"Associates Degree, Bachelors Degree, Certificate",N/A,"Private for-profit, 4-year or above"
New England Institute of Technology,http://www.neit.edu,East Greenwich,RI,"Associates Degree, Bachelors Degree, Masters Degree","$22,371","Private not-for-profit, 4-year or above"
New Hampshire Institute of Art,http://www.nhia.edu,Manchester,NH,"Bachelors Degree, Masters Degree, Post-Bachelors Certificate","$24,010","Private not-for-profit, 4-year or above"
New Mexico Highlands University,http://www.nmhu.edu,Las Vegas,NM,"Associates Degree, Bachelors Degree, Masters Degree, Post-Bachelors Certificate","$4,500","Public, 4-year or above"
New Mexico Institute of Mining and Technology,http://www.nmt.edu,Socorro,NM,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate","$6,256","Public, 4-year or above"
New Mexico Junior College,http://www.nmjc.edu,Hobbs,NM,"Associates Degree, Certificate","$1,704","Public, 2-year"
New Mexico State University-Alamogordo,http://nmsua.edu,Alamogordo,NM,"Associates Degree, Certificate","$2,328","Public, 2-year"
New Mexico State University-Carlsbad,http://carlsbad.nmsu.edu,Carlsbad,NM,"Associates Degree, Certificate","$1,780","Public, 2-year"
New Mexico State University-Dona Ana,http://dacc.nmsu.edu/,Las Cruces,NM,"Associates Degree, Certificate","$1,944","Public, 2-year"
New Mexico State University-Grants,http://grants.nmsu.edu/,Grants,NM,"Associates Degree, Certificate","$2,064","Public, 2-year"
New Mexico State University-Main Campus,http://www.nmsu.edu/,Las Cruces,NM,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$5,950","Public, 4-year or above"
New River Community and Technical College,http://www.newriver.edu,Beaver,WV,"Associates Degree, Certificate","$3,564","Public, 2-year"
New Saint Andrews College,http://nsa.edu,Moscow,ID,"Associates Degree, Bachelors Degree, Masters Degree, Post-Bachelors Certificate","$11,500","Private not-for-profit, 4-year or above"
Nightingale College,http://www.nightingale.edu,Ogden,UT,"Associates Degree, Bachelors Degree",N/A,"Private for-profit, 4-year or above"
North Dakota State College of Science,https://www.ndscs.edu,Wahpeton,ND,"Associates Degree, Certificate","$4,438","Public, 2-year"
North Dakota State University-Main Campus,http://www.ndsu.edu,Fargo,ND,"Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate","$7,940","Public, 4-year or above"
