name,url,city,state,degree_levels,tuition,school_type
A T Still University of Health Sciences,http://WWW.ATSU.EDU,Kirksville,MO,"Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate",N/A,"Private not-for-profit, 4-year or above"
AI Miami International University of Art and Design,http://www.artinstitutes.edu/miami/,Miami,FL,"Associates Degree, Bachelors Degree, Certificate, Masters Degree","$17,704","Private for-profit, 4-year or above"
ASA College,http://www.asa.edu,Brooklyn,NY,"Associates Degree, Certificate","$12,298","Private for-profit, 2-year"
Abilene Christian University,http://www.acu.edu,Abilene,TX,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$29,450","Private not-for-profit, 4-year or above"
Abraham Baldwin Agricultural College,http://www.abac.edu,Tifton,GA,"Associates Degree, Bachelors Degree","$3,394","Public, 4-year or above"
Academy College,http://www.academycollege.edu,Minneapolis,MN,"Associates Degree, Bachelors Degree, Certificate","$18,095","Private for-profit, 4-year or above"
Academy for Nursing and Health Occupations,http://www.ANHO.edu,West Palm Beach,FL,"Associates Degree, Certificate",N/A,"Private not-for-profit, 2-year"
Academy of Art University,http://www.academyart.edu,San Francisco,CA,"Associates Degree, Bachelors Degree, Certificate, Masters Degree, Post-Bachelors Certificate","$22,608","Private for-profit, 4-year or above"
Adams State University,http://www.adams.edu,Alamosa,CO,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree","$8,014","Public, 4-year or above"
Adelphi University,http://www.adelphi.edu/,Garden City,NY,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$32,340","Private not-for-profit, 4-year or above"
Adirondack Community College,http://WWW.SUNYACC.EDU,Queensbury,NY,"Associates Degree, Certificate","$4,302","Public, 2-year"
Adler Graduate School,http://www.alfredadler.edu,Richfield,MN,"Masters Degree, Post-Masters Certificate",N/A,"Private not-for-profit, 4-year or above"
Adler University,http://www.adler.edu,Chicago,IL,"Doctoral Degree, Masters Degree, Post-Masters Certificate",N/A,"Private not-for-profit, 4-year or above"
Adult and Community Education-Hudson,http://www.ccsoh.us/ACE.aspx,Columbus,OH,Certificate,N/A,"Public, less-than 2-year"
Advanced College,http://www.advancedcollege.edu,South Gate,CA,"Associates Degree, Certificate",N/A,"Private for-profit, 2-year"
Adventist University of Health Sciences,http://www.adu.edu,Orlando,FL,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree","$12,430","Private not-for-profit, 4-year or above"
Agnes Scott College,http://www.agnesscott.edu,Decatur,GA,Bachelors Degree,"$35,982","Private not-for-profit, 4-year or above"
Aiken Technical College,http://www.atc.edu,Graniteville,SC,"Associates Degree, Certificate","$4,132","Public, 2-year"
Aims Community College,http://www.aims.edu,Greeley,CO,"Associates Degree, Certificate","$2,756","Public, 2-year"
Air Force Institute of Technology-Graduate School of Engineering & Management,http://www.afit.edu,Wright-Patterson AFB,OH,"Doctoral Degree, Masters Degree",N/A,"Public, 4-year or above"
Alabama A & M University,http://www.aamu.edu/,Normal,AL,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Masters Certificate","$9,096","Public, 4-year or above"
Alabama Southern Community College,http://www.ascc.edu,Monroeville,AL,"Associates Degree, Certificate","$4,260","Public, 2-year"
Alabama State University,http://www.alasu.edu,Montgomery,AL,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Masters Certificate","$8,720","Public, 4-year or above"
Alamance Community College,http://www.alamancecc.edu,Graham,NC,"Associates Degree, Certificate","$2,175","Public, 2-year"
Alaska Bible College,http://www.akbible.edu/,Palmer,AK,"Associates Degree, Bachelors Degree, Certificate","$9,300","Private not-for-profit, 4-year or above"
Alaska Pacific University,http://www.alaskapacific.edu,Anchorage,AK,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate","$19,610","Private not-for-profit, 4-year or above"
Albany College of Pharmacy and Health Sciences,http://www.acphs.edu,Albany,NY,"Bachelors Degree, Doctoral Degree, Masters Degree","$30,131","Private not-for-profit, 4-year or above"
Albany Medical College,http://www.amc.edu,Albany,NY,"Doctoral Degree, Masters Degree",N/A,"Private not-for-profit, 4-year or above"
Albany State University,http://www.asurams.edu/,Albany,GA,"Bachelors Degree, Masters Degree, Post-Masters Certificate","$5,192","Public, 4-year or above"
Albany Technical College,http://www.albanytech.edu,Albany,GA,"Associates Degree, Certificate","$4,746","Public, 2-year"
Albertus Magnus College,http://www.albertus.edu,New Haven,CT,"Associates Degree, Bachelors Degree, Certificate, Masters Degree, Post-Bachelors Certificate","$28,930","Private not-for-profit, 4-year or above"
Albion College,http://www.albion.edu,Albion,MI,Bachelors Degree,"$37,485","Private not-for-profit, 4-year or above"
Alcorn State University,http://www.alcorn.edu,Alcorn State,MS,"Associates Degree, Bachelors Degree, Masters Degree, Post-Masters Certificate","$6,200","Public, 4-year or above"
Alderson Broaddus University,http://www.ab.edu/,Philippi,WV,"Associates Degree, Bachelors Degree, Masters Degree","$22,740","Private not-for-profit, 4-year or above"
Alexandria Technical & Community College,http://www.alextech.edu,Alexandria,MN,"Associates Degree, Certificate","$5,397","Public, 2-year"
Alfred University,http://www.alfred.edu,Alfred,NY,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Masters Certificate","$26,026","Private not-for-profit, 4-year or above"
Allan Hancock College,http://www.hancockcollege.edu/,Santa Maria,CA,"Associates Degree, Certificate","$1,346","Public, 2-year"
Allegany College of Maryland,http://www.allegany.edu,Cumberland,MD,"Associates Degree, Certificate","$6,420","Public, 2-year"
Allen College,http://www.allencollege.edu,Waterloo,IA,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Masters Certificate","$19,295","Private not-for-profit, 4-year or above"
Allen County Community College,http://www.allencc.edu,Iola,KS,"Associates Degree, Certificate","$2,784","Public, 2-year"
Alliant International University-San Diego,http://www.alliant.edu,San Diego,CA,"Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$16,350","Private not-for-profit, 4-year or above"
Allied American University,http://allied.edu,Laguna Hills,CA,"Associates Degree, Bachelors Degree, Certificate",N/A,"Private for-profit, 4-year or above"
Alma College,http://alma.edu,Alma,MI,Bachelors Degree,"$34,220","Private not-for-profit, 4-year or above"
Alpena Community College,http://www.alpenacc.edu,Alpena,MI,"Associates Degree, Certificate","$5,970","Public, 2-year"
Alvernia University,http://www.alvernia.edu,Reading,PA,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree","$30,080","Private not-for-profit, 4-year or above"
Alvin Community College,http://www.alvincollege.edu,Alvin,TX,"Associates Degree, Certificate","$2,566","Public, 2-year"
Amarillo College,http://www.actx.edu,Amarillo,TX,"Associates Degree, Certificate","$2,898","Public, 2-year"
Amberton University,http://www.amberton.edu,Garland,TX,"Bachelors Degree, Masters Degree",N/A,"Private not-for-profit, 4-year or above"
Ambria College of Nursing,http://ambria.edu,Hoffman Estates,IL,"Associates Degree, Certificate",N/A,"Private for-profit, 2-year"
AmeriTech College-Draper,http://www.ameritech.edu,Draper,UT,"Associates Degree, Bachelors Degree, Certificate","$19,785","Private for-profit, 4-year or above"
American Academy McAllister Institute of Funeral Service,http://www.funeraleducation.org,New York,NY,Associates Degree,"$14,498","Private not-for-profit, 2-year"
American Baptist College,http://www.abcnash.edu,Nashville,TN,"Associates Degree, Bachelors Degree","$9,610","Private not-for-profit, 4-year or above"
American Baptist Seminary of the West,http://www.absw.edu,Berkeley,CA,"Doctoral Degree, Masters Degree, Post-Masters Certificate",N/A,"Private not-for-profit, 4-year or above"
American Broadcasting School-Online Program,http://radioschoolonline.com/homechat.htm,Oklahoma City,OK,Certificate,N/A,"Private for-profit, less-than 2-year"
American Business and Technology University,http://abtu.edu,St Joseph,MO,"Associates Degree, Bachelors Degree, Certificate, Masters Degree",N/A,"Private for-profit, 4-year or above"
American College for Medical Careers,http://www.acmc.edu,Orlando,FL,"Associates Degree, Bachelors Degree, Certificate",N/A,"Private for-profit, 4-year or above"
American College of Acupuncture and Oriental Med,http://www.acaom.edu,Houston,TX,"Doctoral Degree, Masters Degree",N/A,"Private for-profit, 4-year or above"
American College of Education,http://www.ace.edu,Indianapolis,IN,"Doctoral Degree, Masters Degree",N/A,"Private for-profit, 4-year or above"
American College of Financial Services,http://www.theamericancollege.edu,Bryn Mawr,PA,"Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate",N/A,"Private not-for-profit, 4-year or above"
American College of Healthcare Sciences,http://www.achs.edu,Portland,OR,"Associates Degree, Certificate, Masters Degree, Post-Bachelors Certificate","$10,560","Private for-profit, 4-year or above"
American Indian College Inc,http://www.aicag.edu/,Phoenix,AZ,"Associates Degree, Bachelors Degree","$11,700","Private not-for-profit, 4-year or above"
American Institute,http://www.americaninstitute.com,CLIFTON,NJ,Certificate,N/A,"Private for-profit, 2-year"
American Institute,http://americaninstitute.edu,West Hartford,CT,Certificate,N/A,"Private for-profit, 2-year"
American Institute-Toms River,http://www.americaninstitute.edu/,Toms River,NJ,Certificate,N/A,"Private for-profit, 2-year"
American International College,http://www.aic.edu,Springfield,MA,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$30,940","Private not-for-profit, 4-year or above"
American Medical Academy,http://WWW.AMA.EDU,Miami,FL,"Associates Degree, Certificate",N/A,"Private for-profit, 2-year"
American National University,http://www.an.edu,Salem,VA,"Associates Degree, Bachelors Degree, Certificate, Masters Degree","$11,550","Private for-profit, 4-year or above"
American Public University System,http://www.apus.edu,Charles Town,WV,"Associates Degree, Bachelors Degree, Certificate, Masters Degree, Post-Bachelors Certificate","$6,400","Private for-profit, 4-year or above"
American River College,http://www.arc.losrios.edu/,Sacramento,CA,"Associates Degree, Certificate","$1,104","Public, 2-year"
American Sentinel University,http://www.americansentinel.edu,Aurora,CO,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree",N/A,"Private for-profit, 4-year or above"
Amridge University,http://www.amridgeuniversity.edu,Montgomery,AL,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree","$6,900","Private not-for-profit, 4-year or above"
Anabaptist Mennonite Biblical Seminary,http://www.ambs.edu,Elkhart,IN,"Masters Degree, Post-Bachelors Certificate",N/A,"Private not-for-profit, 4-year or above"
Ancilla College,https://www.ancilla.edu/,Donaldson,IN,"Associates Degree, Certificate","$13,730","Private not-for-profit, 2-year"
Anderson University,http://www.anderson.edu,Anderson,IN,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree","$26,850","Private not-for-profit, 4-year or above"
Anderson University,http://www.andersonuniversity.edu,Anderson,SC,"Bachelors Degree, Doctoral Degree, Masters Degree","$23,750","Private not-for-profit, 4-year or above"
Andover Newton Theological School,http://www.ants.edu,Newton Centre,MA,"Doctoral Degree, Masters Degree",N/A,"Private not-for-profit, 4-year or above"
Andrews University,http://www.andrews.edu,Berrien Springs,MI,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$26,256","Private not-for-profit, 4-year or above"
Angelina College,http://www.angelina.edu,Lufkin,TX,"Associates Degree, Certificate","$3,330","Public, 2-year"
Angelo State University,http://www.angelo.edu,San Angelo,TX,"Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$6,856","Public, 4-year or above"
Ann Arbor Institute of Massage Therapy,http://www.aaimt.edu,Ann Arbor,MI,Certificate,N/A,"Private for-profit, less-than 2-year"
Anna Maria College,http://www.annamaria.edu,Paxton,MA,"Bachelors Degree, Certificate, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$34,060","Private not-for-profit, 4-year or above"
Anne Arundel Community College,http://www.aacc.edu,Arnold,MD,"Associates Degree, Certificate","$7,170","Public, 2-year"
Anoka Technical College,http://www.anokatech.edu,Anoka,MN,"Associates Degree, Certificate","$5,566","Public, 2-year"
Anoka-Ramsey Community College,http://www.anokaramsey.edu,Coon Rapids,MN,"Associates Degree, Certificate","$5,004","Public, 2-year"
Antelope Valley College,http://www.avc.edu,Lancaster,CA,"Associates Degree, Certificate","$1,104","Public, 2-year"
Antioch College,http://antiochcollege.org,Yellow Springs,OH,Bachelors Degree,"$30,950","Private not-for-profit, 4-year or above"
Antioch University Online,https://www.antioch.edu/auonline/,Yellow Springs,OH,Bachelors Degree,"$12,825","Private not-for-profit, 4-year or above"
Antioch University-Los Angeles,http://www.antiochla.edu,Culver City,CA,"Bachelors Degree, Masters Degree, Post-Masters Certificate",N/A,"Private not-for-profit, 4-year or above"
Antioch University-Midwest,http://midwest.antioch.edu/,Yellow Springs,OH,"Bachelors Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate",N/A,"Private not-for-profit, 4-year or above"
Antioch University-New England,http://www.antiochne.edu,Keene,NH,"Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate",N/A,"Private not-for-profit, 4-year or above"
Antioch University-PhD Program in Leadership and Change,http://www.phd.antioch.edu,Yellow Springs,OH,Doctoral Degree,N/A,"Private not-for-profit, 4-year or above"
Antioch University-Santa Barbara,http://www.antiochsb.edu,Santa Barbara,CA,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate",N/A,"Private not-for-profit, 4-year or above"
Antonelli College-Cincinnati,http://www.antonellicollege.edu,Cincinnati,OH,"Associates Degree, Certificate","$15,980","Private for-profit, 2-year"
Antonelli College-Hattiesburg,http://www.antonellicollege.edu,Hattiesburg,MS,"Associates Degree, Certificate","$15,980","Private for-profit, 2-year"
Antonelli College-Jackson,http://www.antonellicollege.edu,Jackson,MS,Associates Degree,"$15,980","Private for-profit, 2-year"
Apex School of Theology,http://www.apexsot.edu,Durham,NC,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree","$5,000","Private not-for-profit, 4-year or above"
Apollo Career Center,http://www.apollocareercenter.com,Lima,OH,Certificate,N/A,"Public, less-than 2-year"
Appalachian Bible College,http://www.abc.edu,Mount Hope,WV,"Associates Degree, Bachelors Degree, Certificate, Masters Degree","$13,590","Private not-for-profit, 4-year or above"
Appalachian State University,http://www.appstate.edu/,Boone,NC,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$6,553","Public, 4-year or above"
Aquinas College,http://www.aquinas.edu,Grand Rapids,MI,"Associates Degree, Bachelors Degree, Masters Degree","$27,906","Private not-for-profit, 4-year or above"
Aquinas Institute of Theology,http://www.ai.edu,Saint Louis,MO,"Doctoral Degree, Masters Degree, Post-Bachelors Certificate",N/A,"Private not-for-profit, 4-year or above"
Arapahoe Community College,http://www.arapahoe.edu,Littleton,CO,"Associates Degree, Certificate","$3,392","Public, 2-year"
Arcadia University,http://www.arcadia.edu,Glenside,PA,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$38,160","Private not-for-profit, 4-year or above"
Argosy University-Atlanta,http://argosy.edu/,Atlanta,GA,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$13,663","Private for-profit, 4-year or above"
Argosy University-Chicago,http://www.argosy.edu/chicago,Chicago,IL,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$13,663","Private for-profit, 4-year or above"
Argosy University-Dallas,http://www.argosy.edu/dallas/,Farmers Branch,TX,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate",N/A,"Private for-profit, 4-year or above"
Argosy University-Denver,http://www.argosy.edu/denver/,Denver,CO,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Masters Certificate","$13,663","Private for-profit, 4-year or above"
Argosy University-Hawaii,http://www.argosy.edu/hawaii/,Honolulu,HI,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$14,071","Private for-profit, 4-year or above"
Argosy University-Inland Empire,http://www.argosy.edu/inland-empire-california/default.aspx,Ontario,CA,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Masters Certificate","$13,663","Private for-profit, 4-year or above"
Argosy University-Los Angeles,http://www.argosy.edu/los-angeles-california/default.aspx,Los Angeles,CA,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$13,663","Private for-profit, 4-year or above"
Argosy University-Nashville,http://www.argosy.edu/nashville/,Nashville,TN,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Masters Certificate","$13,663","Private for-profit, 4-year or above"
Argosy University-Orange County,http://www.argosy.edu/orange-county-southern-california/default.aspx,Orange,CA,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$13,663","Private for-profit, 4-year or above"
Argosy University-Phoenix,http://www.argosy.edu/phoenix/,Phoenix,AZ,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Masters Certificate","$13,663","Private for-profit, 4-year or above"
Argosy University-Phoenix Online Division,http://www.argosy.edu/phoenix,Phoenix,AZ,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree","$18,885","Private for-profit, 4-year or above"
Argosy University-Salt Lake City,http://www.argosy.edu/locations/salt-lake-city/default.aspx,Draper,UT,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Masters Certificate","$13,663","Private for-profit, 4-year or above"
Argosy University-San Diego,http://www.argosy.edu/sandiego,San Diego,CA,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Masters Certificate","$13,663","Private for-profit, 4-year or above"
Argosy University-San Francisco Bay Area,http://www.argosy.edu/sanfrancisco,Alameda,CA,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$13,663","Private for-profit, 4-year or above"
Argosy University-Sarasota,http://www.argosy.edu/sarasota/,Sarasota,FL,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$13,663","Private for-profit, 4-year or above"
Argosy University-Schaumburg,http://www.argosy.edu/schaumburg,Schaumburg,IL,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$13,663","Private for-profit, 4-year or above"
Argosy University-Seattle,http://www.argosy.edu/seattle,Seattle,WA,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$13,663","Private for-profit, 4-year or above"
Argosy University-Tampa,http://www.argosy.edu/tampa,Tampa,FL,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$13,663","Private for-profit, 4-year or above"
Argosy University-Twin Cities,http://www.argosy.edu/twincities/,Eagan,MN,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$13,663","Private for-profit, 4-year or above"
Argosy University-Washington DC,http://www.argosy.edu/washingtondc,Arlington,VA,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$13,663","Private for-profit, 4-year or above"
Arizona Christian University,http://www.arizonachristian.edu,Phoenix,AZ,"Associates Degree, Bachelors Degree","$22,466","Private not-for-profit, 4-year or above"
Arizona State University-Downtown Phoenix,http://www.asu.edu/,Phoenix,AZ,"Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$10,157","Public, 4-year or above"
Arizona State University-Polytechnic,http://www.asu.edu/,Mesa,AZ,"Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate","$9,683","Public, 4-year or above"
Arizona State University-Skysong,http://www.asu.edu/,Scottsdale,AZ,"Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate","$8,503","Public, 4-year or above"
Arizona State University-Tempe,http://www.asu.edu/,Tempe,AZ,"Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate","$10,157","Public, 4-year or above"
Arizona State University-West,http://www.asu.edu/,Glendale,AZ,"Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate","$9,683","Public, 4-year or above"
Arizona Western College,http://www.azwestern.edu,Yuma,AZ,"Associates Degree, Certificate","$2,480","Public, 2-year"
Arkansas Baptist College,http://www.arkansasbaptist.edu,Little Rock,AR,"Associates Degree, Bachelors Degree","$8,040","Private not-for-profit, 4-year or above"
Arkansas Northeastern College,http://www.anc.edu,Blytheville,AR,"Associates Degree, Certificate","$2,234","Public, 2-year"
Arkansas State University-Beebe,http://www.asub.edu,Beebe,AR,"Associates Degree, Certificate","$2,808","Public, 2-year"
Arkansas State University-Main Campus,http://www2.astate.edu,Jonesboro,AR,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$7,720","Public, 4-year or above"
Arkansas State University-Mountain Home,http://www.asumh.edu,Mountain Home,AR,"Associates Degree, Certificate","$2,664","Public, 2-year"
Arkansas State University-Newport,http://www.asun.edu,Newport,AR,"Associates Degree, Certificate","$2,520","Public, 2-year"
Arkansas Tech University,http://www.atu.edu,Russellville,AR,"Associates Degree, Bachelors Degree, Certificate, Masters Degree, Post-Masters Certificate","$5,862","Public, 4-year or above"
Arlington Career Institute,http://www.arlingtonci.com,Grand Prairie,TX,Certificate,N/A,"Private for-profit, 2-year"
Armstrong State University,http://www.armstrong.edu,Savannah,GA,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$5,266","Public, 4-year or above"
Art Center College of Design,http://www.artcenter.edu,Pasadena,CA,"Bachelors Degree, Masters Degree","$37,830","Private not-for-profit, 4-year or above"
Asbury Theological Seminary,http://www.asburyseminary.edu,Wilmore,KY,"Doctoral Degree, Masters Degree, Post-Bachelors Certificate",N/A,"Private not-for-profit, 4-year or above"
Asbury University,http://www.asbury.edu,Wilmore,KY,"Associates Degree, Bachelors Degree, Masters Degree","$26,868","Private not-for-profit, 4-year or above"
Asher College,http://www.asher.edu,Sacramento,CA,"Associates Degree, Certificate",N/A,"Private for-profit, 2-year"
Asheville-Buncombe Technical Community College,http://www.abtech.edu,Asheville,NC,"Associates Degree, Certificate","$2,033","Public, 2-year"
Ashland Community and Technical College,http://www.ashland.kctcs.edu/,Ashland,KY,"Associates Degree, Certificate","$3,624","Public, 2-year"
Ashland University,https://www.ashland.edu,Ashland,OH,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate","$19,852","Private not-for-profit, 4-year or above"
Asnuntuck Community College,http://www.Asnuntuck.edu,Enfield,CT,"Associates Degree, Certificate","$3,866","Public, 2-year"
Aspen University,http://www.aspen.edu,Denver,CO,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree","$4,650","Private for-profit, 4-year or above"
Assemblies of God Theological Seminary,http://www.agts.edu,Springfield,MO,"Doctoral Degree, Masters Degree",N/A,"Private not-for-profit, 4-year or above"
Assumption College,http://www.assumption.edu,Worcester,MA,"Associates Degree, Bachelors Degree, Certificate, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$36,160","Private not-for-profit, 4-year or above"
Athens State University,http://www.athens.edu,Athens,AL,Bachelors Degree,N/A,"Public, 4-year or above"
Athens Technical College,http://www.athenstech.edu/,Athens,GA,"Associates Degree, Certificate","$2,684","Public, 2-year"
Atlanta Metropolitan State College,http://www.atlm.edu,Atlanta,GA,"Associates Degree, Bachelors Degree, Certificate","$3,058","Public, 4-year or above"
Atlanta Technical College,http://www.atlantatech.edu/,Atlanta,GA,"Associates Degree, Certificate","$2,740","Public, 2-year"
Atlanta's John Marshall Law School,http://www.johnmarshall.edu,Atlanta,GA,Doctoral Degree,N/A,"Private for-profit, 4-year or above"
Atlantic Cape Community College,http://www.atlantic.edu,Mays Landing,NJ,"Associates Degree, Certificate","$5,802","Public, 2-year"
Atlantic Technical College,http://www.atlantictechcenter.com,Coconut Creek,FL,Certificate,N/A,"Public, 2-year"
Auburn University,http://www.auburn.edu,Auburn University,AL,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$10,200","Public, 4-year or above"
Auburn University at Montgomery,http://www.aum.edu,Montgomery,AL,"Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$9,080","Public, 4-year or above"
Augsburg College,http://www.augsburg.edu,Minneapolis,MN,"Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Masters Certificate","$34,431","Private not-for-profit, 4-year or above"
Augusta Technical College,http://www.augustatech.edu,Augusta,GA,"Associates Degree, Certificate","$2,614","Public, 2-year"
Augustana College,http://www.augie.edu,Sioux Falls,SD,"Bachelors Degree, Masters Degree","$29,214","Private not-for-profit, 4-year or above"
Aurora University,http://aurora.edu,Aurora,IL,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$21,320","Private not-for-profit, 4-year or above"
Austin Community College District,http://www.austincc.edu,Austin,TX,"Associates Degree, Certificate","$8,670","Public, 2-year"
Austin Graduate School of Theology,http://www.austingrad.edu,Austin,TX,"Bachelors Degree, Masters Degree",N/A,"Private not-for-profit, 4-year or above"
Austin Peay State University,http://www.apsu.edu,Clarksville,TN,"Associates Degree, Bachelors Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$7,168","Public, 4-year or above"
Avant Gard The School,http://www.avantgardtheschool.com,Avon,IN,Certificate,N/A,"Private for-profit, less-than 2-year"
Ave Maria School of Law,http://www.avemarialaw.edu,Naples,FL,Doctoral Degree,N/A,"Private not-for-profit, 4-year or above"
Ave Maria University,http://www.avemaria.edu,Ave Maria,FL,"Bachelors Degree, Doctoral Degree, Masters Degree","$17,940","Private not-for-profit, 4-year or above"
Averett University,http://www.averett.edu,Danville,VA,"Associates Degree, Bachelors Degree, Masters Degree","$29,150","Private not-for-profit, 4-year or above"
Averett University-Non-Traditional Programs,http://gps.averett.edu/,Danville,VA,"Associates Degree, Bachelors Degree, Masters Degree","$10,325","Private not-for-profit, 4-year or above"
Avi Career Training,http://www.AviCareerTraining.com,Great Falls,VA,Certificate,N/A,"Private for-profit, less-than 2-year"
Avila University,http://www.Avila.edu,Kansas City,MO,"Bachelors Degree, Masters Degree, Post-Bachelors Certificate","$25,700","Private not-for-profit, 4-year or above"
Ayers Career College,http://www.ayers.edu,Shreveport,LA,Certificate,N/A,"Private for-profit, less-than 2-year"
Azusa Pacific University College,http://www.apu.edu/university-college/,Glendora,CA,"Associates Degree, Bachelors Degree, Certificate, Masters Degree","$10,300","Private not-for-profit, 4-year or above"
Babel University,http://www.babel.edu/,Honolulu,HI,Masters Degree,N/A,"Private for-profit, 4-year or above"
Babson College,http://www.babson.edu,Wellesley,MA,"Bachelors Degree, Masters Degree, Post-Masters Certificate","$45,120","Private not-for-profit, 4-year or above"
Bacone College,http://www.bacone.edu,Muskogee,OK,"Associates Degree, Bachelors Degree","$14,050","Private not-for-profit, 4-year or above"
Bainbridge State College,http://www.bainbridge.edu,Bainbridge,GA,"Associates Degree, Certificate","$3,174","Public, 2-year"
Baker College Center for Graduate Studies,http://www.baker.edu,Flint,MI,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate","$10,800","Private not-for-profit, 4-year or above"
