school_name,wm_source,wm_category,wm_rank,wm_social_mobility_rank,wm_research_rank,wm_service_rank,wm_grad_rate_8yr,wm_pell_graduates,wm_net_price
University of North Dakota (ND)*,main,National Universities,167,235.0,134.2953,0.3753515,0.538978,-0.1270511,13856.12
Spring Hill College,bang4buck,Southeast,167,,,,,,
Rockhurst University,main,Master's Universities,168,205.0,0.0,0.041492,0.7398648,-0.1377346,16885.45
Johnson & Wales U.–Charlotte,bang4buck,Southeast,168,,,,,,
Ctrl. Meth.–Lib. Arts/Sciences,main,Bachelor's Colleges,168,181.0,0.0,0.0900844,0.4984473,-0.1352882,23149.75
Mt. Vernon Nazarene Univ.,bang4buck,Midwest,168,,,,,,
Bethany Lutheran College,main,Liberal Arts Colleges,168,149.0,0.0,0.0621025,0.5567745,-0.0529644,12626.77
Cedar Crest College,bang4buck,Northeast,168,,,,,,
Southwestern Christian Univ.,bang4buck,South,168,,,,,,
Oregon State University (OR)*,main,National Universities,168,210.0,0.0,0.0672835,0.6593199,-0.1325142,15660.2
La Sierra University,bang4buck,West,168,,,,,,
University of Alaska Southeast (AK)*,bang4buck,West,169,,,,,,
Georgetown College,main,Liberal Arts Colleges,169,183.0,0.0,0.0535136,0.5236921,-0.1940529,12852.92
University of WA–Bothell (WA)*,main,Master's Universities,169,68.0,7.871666,0.0,0.77027,-0.0745171,6570.299
MA College of Liberal Arts (MA)*,bang4buck,Northeast,169,,,,,,
D'Youville College,main,National Universities,169,87.0,0.2886667,0.0,0.6471534,-0.0226985,17078.82
Marian University,bang4buck,Midwest,169,,,,,,
Oral Roberts University,bang4buck,South,169,,,,,,
Limestone College,bang4buck,Southeast,169,,,,,,
Glenville State College (WV)*,main,Bachelor's Colleges,169,174.0,0.0,0.0925654,0.3233673,-0.17421,14800.67
Prairie View A&M University (TX)*,main,National Universities,170,135.0,18.91133,0.1892949,0.4590858,-0.1163377,13185.52
Metropolitan College of NY,main,Master's Universities,170,91.0,0.0,0.0260838,0.3997954,0.2020843,22271.68
Concordia University–Chicago,bang4buck,Midwest,170,,,,,,
Barry University,bang4buck,Southeast,170,,,,,,
Smith College,bang4buck,Northeast,170,,,,,,
McPherson College,main,Bachelor's Colleges,170,161.0,0.0,0.1738631,0.4746971,-0.0382329,21715.75
Univ. of CO–Colorado Springs (CO)*,bang4buck,West,170,,,,,,
Southwestern University,bang4buck,South,170,,,,,,
Southern Virginia University,main,Liberal Arts Colleges,170,143.0,0.0,0.0648673,0.4030042,-0.082994,19118.06
University of New Orleans (LA)*,bang4buck,South,171,,,,,,
Seattle Pacific University,bang4buck,West,171,,,,,,
University of Rhode Island (RI)*,bang4buck,Northeast,171,,,,,,
John Paul the Great Catholic U.,main,Bachelor's Colleges,171,106.0,0.0,0.0225947,0.5755882,-0.1253617,26170.32
University of NV–Las Vegas (NV)*,main,National Universities,171,187.0,100.616,0.1108453,0.5255263,-0.0570802,10871.04
West Virginia University (WV)*,bang4buck,Southeast,171,,,,,,
Millsaps College,main,Liberal Arts Colleges,171,177.0,0.288,0.0,0.6732411,-0.173738,21694.95
Bob Jones University,main,Master's Universities,171,331.0,0.0,0.9276662,0.6125789,-0.0803256,13915.4
Manchester University,bang4buck,Midwest,171,,,,,,
Delaware State University (DE)*,bang4buck,Northeast,172,,,,,,
SUNY Binghamton (NY)*,main,National Universities,172,110.0,124.439,0.0,0.8131024,-0.0395613,15758.55
Maryville College,main,Liberal Arts Colleges,172,178.0,0.0,0.0735351,0.525304,-0.2077259,17531.81
University of Alaska–Anchorage (AK)*,bang4buck,West,172,,,,,,
Saint Leo University,bang4buck,Southeast,172,,,,,,
Southwestern Adventist Univ.,main,Bachelor's Colleges,172,202.0,0.0,0.1370185,0.5288042,-0.3938552,17184.65
East Texas Baptist University,bang4buck,South,172,,,,,,
Delaware State University (DE)*,main,Master's Universities,172,202.0,25.10467,0.1499756,0.4734754,-0.0662171,12630.03
Ashland University,bang4buck,Midwest,172,,,,,,
Boise State University (ID)*,bang4buck,West,173,,,,,,
Goucher College,bang4buck,Northeast,173,,,,,,
Adrian College,bang4buck,Midwest,173,,,,,,
Coastal Carolina University (SC)*,bang4buck,Southeast,173,,,,,,
Bridgewater State University (MA)*,main,Master's Universities,173,173.0,0.607,0.0816321,0.6218389,-0.0830356,13215.18
Mississippi State University (MS)*,bang4buck,South,173,,,,,,
Centenary College of Louisiana,main,Liberal Arts Colleges,173,170.0,0.0,0.0360196,0.5791059,-0.0475772,21185.37
College of Coastal Georgia (GA)*,main,Bachelor's Colleges,173,145.0,0.0,0.0924244,0.3179614,-0.0754411,11672.95
University of Colorado–Denver (CO)*,main,National Universities,173,171.0,184.881,0.027964,0.5044043,0.0083703,11095.92
University of Rhode Island (RI)*,main,National Universities,174,159.0,122.7883,0.0078962,0.7054778,-0.1159098,14141.2
Ottawa University–Ottawa,main,Bachelor's Colleges,174,160.0,0.0,0.0556756,0.4583413,-0.0579881,23897.87
Univ. of Nebraska–Kearney (NE)*,main,Master's Universities,174,129.0,3.283333,0.1118552,0.5686913,-0.0621101,14956.4
William Carey University,bang4buck,South,174,,,,,,
Pacific University,bang4buck,West,174,,,,,,
University of Maine–Machias (ME)*,main,Liberal Arts Colleges,174,129.0,0.0,0.0,0.3598326,-0.07,6857.896
Northern Illinois University (IL)*,bang4buck,Midwest,174,,,,,,
Randolph College,bang4buck,Southeast,174,,,,,,
Keene State College (NH)*,bang4buck,Northeast,174,,,,,,
Univ. of the Incarnate Word,bang4buck,South,175,,,,,,
Ferrum College,main,Bachelor's Colleges,175,206.0,0.05,0.0684102,0.3259686,-0.0831711,26174.91
Duquesne University,bang4buck,Northeast,175,,,,,,
Edward Waters College,bang4buck,Southeast,175,,,,,,
Morgan State University (MD)*,main,National Universities,175,175.0,22.43433,0.0509817,0.4922673,-0.1151416,13491.28
Los Angeles Pacific University,bang4buck,West,175,,,,,,
Converse College,main,Master's Universities,175,307.0,0.2443333,0.0,0.5651649,-0.106532,19719.05
Allen University,main,Liberal Arts Colleges,175,152.0,0.0,0.1144596,0.2164481,-0.0756,13365.88
Wisconsin Lutheran College,bang4buck,Midwest,175,,,,,,
University of Montana (MT)*,bang4buck,West,176,,,,,,
Cleveland State University (OH)*,bang4buck,Midwest,176,,,,,,
Bryn Mawr College,bang4buck,Northeast,176,,,,,,
Brescia University,bang4buck,South,176,,,,,,
Penn State–University Park (PA)*,main,National Universities,176,304.0,994.1357,0.0745534,0.7487829,-0.2087153,22661.78
Milligan University,main,Master's Universities,176,146.0,0.0,0.0800834,0.6614634,0.0430549,16961.92
Univ. of Virginia's Coll.–Wise (VA)*,bang4buck,Southeast,176,,,,,,
Warren Wilson College,main,Liberal Arts Colleges,176,193.0,0.0,0.0402545,0.4843731,-0.1370471,22468.37
Brescia University,main,Bachelor's Colleges,176,193.0,0.0,0.1643798,0.405895,-0.1440744,13481.63
Bethany College,main,Bachelor's Colleges,177,154.0,0.0,0.1457566,0.4062357,0.0192177,26216.53
Clemson University (SC)*,main,National Universities,177,233.0,243.08,0.0886928,0.831327,-0.110773,17152.27
Culver-Stockton College,bang4buck,Midwest,177,,,,,,
Asbury University,bang4buck,South,177,,,,,,
University of Mobile,bang4buck,Southeast,177,,,,,,
Bard College,bang4buck,Northeast,177,,,,,,
Assumption College,main,Master's Universities,177,139.0,0.0,0.0170994,0.7243663,-0.0626212,22169.21
Bryn Athyn College,main,Liberal Arts Colleges,177,168.0,0.355,0.1157953,0.4696914,-0.0400049,19342.74
Rocky Mt. Coll. of Art & Design,bang4buck,West,177,,,,,,
Reed College,bang4buck,West,178,,,,,,
Hallmark University,bang4buck,South,178,,,,,,
Emmanuel College,main,Liberal Arts Colleges,178,171.0,0.0,0.0607855,0.6572906,-0.0998829,25416.76
Ramapo College of New Jersey (NJ)*,main,Master's Universities,178,186.0,0.4046667,0.0807066,0.7201124,-0.1096175,13084.05
Bridgewater College,bang4buck,Southeast,178,,,,,,
Idaho State University (ID)*,main,National Universities,178,150.0,15.01533,0.058425,0.5604236,-0.1107228,16118.95
Indiana University–Northwest (IN)*,bang4buck,Midwest,178,,,,,,
Blue Mountain Christian Univ.,main,Bachelor's Colleges,178,172.0,0.0,0.0,0.5400857,-0.2247815,14376.75
Brandeis University,bang4buck,Northeast,178,,,,,,
OK Panhandle State Univ. (OK)*,main,Bachelor's Colleges,179,169.0,0.0,0.0,0.3106686,-0.1508075,7390.711
Otterbein University,main,Master's Universities,179,509.0,0.0,0.208336,0.6243621,-0.1374062,18376.22
University of Rochester,bang4buck,Northeast,179,,,,,,
University of North Alabama (AL)*,bang4buck,Southeast,179,,,,,,
Fisk University,main,Liberal Arts Colleges,179,185.0,4.074667,0.0958824,0.3912842,-0.1927365,24975.18
Austin College,bang4buck,South,179,,,,,,
Western New Mexico Univ. (NM)*,bang4buck,West,179,,,,,,
University of Denver,main,National Universities,179,301.0,41.887,0.0971653,0.7527535,-0.040594,22701.5
University of Central Missouri (MO)*,bang4buck,Midwest,179,,,,,,
Slippery Rock University of PA (PA)*,bang4buck,Northeast,180,,,,,,
Bethany College,main,Liberal Arts Colleges,180,190.0,0.0,0.0,0.3977531,-0.2859451,9887.802
MO Univ. of Science & Tech. (MO)*,main,National Universities,180,142.0,51.59833,0.0086112,0.7010017,-0.1671032,9990.688
Southwest Baptist University,bang4buck,Midwest,180,,,,,,
University of the Southwest,bang4buck,West,180,,,,,,
Southern CT State University (CT)*,main,Master's Universities,180,182.0,5.816333,0.1939148,0.5352667,-0.0818693,17637.6
Shorter University,bang4buck,Southeast,180,,,,,,
Randall University (OK)^^,bang4buck,South,180,,,,,,
Kentucky Wesleyan College,main,Bachelor's Colleges,180,200.0,0.0,0.0776781,0.4418584,-0.1570912,21410.05
NM State Univ.–Main (NM)*,bang4buck,West,181,,,,,,
University of AR–Little Rock (AR)*,bang4buck,South,181,,,,,,
Washington & Jefferson College,bang4buck,Northeast,181,,,,,,
James Madison University (VA)*,main,National Universities,181,230.0,13.985,0.1548396,0.838321,-0.2579355,15925.16
North Park University,bang4buck,Midwest,181,,,,,,
University of Evansville,main,Master's Universities,181,405.0,0.2713333,0.0085481,0.6910042,-0.1944063,17052.95
Averett University,bang4buck,Southeast,181,,,,,,
Miami Univ.–Middletown (OH)*,main,Bachelor's Colleges,181,130.0,0.0,0.0,0.1837158,-0.0315362,11027.41
Oakwood University,main,Liberal Arts Colleges,181,184.0,0.4506667,0.0031491,0.5114558,-0.1931864,22019.39
Rowan University (NJ)*,bang4buck,Northeast,182,,,,,,
Bellarmine University,bang4buck,South,182,,,,,,
Rhode Island School of Design,main,Master's Universities,182,158.0,1.022,0.01103,0.902118,-0.0203892,29564.96
Saint Mary's Univ. of MN,main,National Universities,182,144.0,0.713,0.0,0.6862392,-0.0590812,16307.28
Randolph-Macon College,main,Liberal Arts Colleges,182,163.0,0.0,0.0182387,0.6662623,-0.0493119,21703.91
Spring Arbor University,bang4buck,Midwest,182,,,,,,
Fisher College,main,Bachelor's Colleges,182,155.0,0.0,0.0783026,0.3489036,-0.0220286,22769.96
Brenau University,bang4buck,Southeast,182,,,,,,
Sierra Nevada College,bang4buck,West,182,,,,,,
Univ. of MD–Baltimore County (MD)*,main,National Universities,183,192.0,92.868,0.0879927,0.6909817,-0.0617747,10760.76
College of Wooster,bang4buck,Midwest,183,,,,,,
Northwestern OK State Univ. (OK)*,main,Master's Universities,183,133.0,0.0,0.1322957,0.326761,0.0496794,8736.336
Westminster College,main,Liberal Arts Colleges,183,186.0,0.0,0.0891093,0.5582018,-0.26418,21943.78
Wagner College,bang4buck,Northeast,183,,,,,,
Defiance College,main,Bachelor's Colleges,183,185.0,0.0,0.0233323,0.4080816,-0.1975747,22858.54
University of Tulsa,bang4buck,South,183,,,,,,
Jacksonville State University (AL)*,bang4buck,Southeast,183,,,,,,
Hawaii Pacific University,bang4buck,West,183,,,,,,
St. Lawrence University,bang4buck,Northeast,184,,,,,,
University of Silicon Valley (CA)°,bang4buck,West,184,,,,,,
Kentucky Wesleyan College,bang4buck,South,184,,,,,,
Oglethorpe University,main,Liberal Arts Colleges,184,172.0,0.0,0.0166455,0.4891723,-0.1142684,16807.41
University of NM–Main (NM)*,main,National Universities,184,293.0,302.3683,0.0939533,0.5430073,-0.1171138,14272.14
Fort Valley State University (GA)*,main,Master's Universities,184,115.0,6.577333,0.1044474,0.387299,-0.0468279,12949.41
Stillman College,bang4buck,Southeast,184,,,,,,
Edward Waters College,main,Bachelor's Colleges,184,159.0,0.0,0.0858984,0.2231234,0.0882803,13536.19
Hastings College,bang4buck,Midwest,184,,,,,,
Mary Baldwin University,main,National Universities,185,247.0,0.0,0.1074562,0.3940664,-0.0358911,16774.22
Southern Virginia University,bang4buck,Southeast,185,,,,,,
Bethesda University,bang4buck,West,185,,,,,,
Ouachita Baptist University,main,Liberal Arts Colleges,185,188.0,0.2646667,0.1697904,0.6200949,-0.1897269,18990.91
Univ. of Wisconsin–La Crosse (WI)*,bang4buck,Midwest,185,,,,,,
Immaculata University,bang4buck,Northeast,185,,,,,,
Southwestern Adventist Univ.,bang4buck,South,185,,,,,,
William Penn University,main,Bachelor's Colleges,185,166.0,0.0,0.0997746,0.4301682,-0.1415569,20174.06
College of Charleston (SC)*,main,Master's Universities,185,299.0,6.17,0.0040794,0.6608396,-0.0946193,15206.02
Nevada State University (NV)*,main,Bachelor's Colleges,186,213.0,0.922,0.1192506,0.3099535,-0.3013959,12711.77
Virginia Union University,bang4buck,Southeast,186,,,,,,
Concordia Univ.–Saint Paul,bang4buck,Midwest,186,,,,,,
Concordia University–Irvine,bang4buck,West,186,,,,,,
Randall University (OK)^^,main,Liberal Arts Colleges,186,164.0,0.0,0.0,0.3769192,-0.1644088,16335.59
University of Houston (TX)*,main,National Universities,186,106.0,214.3633,0.0224447,0.6179084,-0.0215231,11503.85
Plymouth State University (NH)*,bang4buck,Northeast,186,,,,,,
University of Central Arkansas (AR)*,bang4buck,South,186,,,,,,
Xavier University of Louisiana,main,Master's Universities,186,468.0,12.78067,0.0553038,0.5216013,-0.2202526,17386.7
Belmont Abbey College,main,Bachelor's Colleges,187,184.0,0.0,0.1744917,0.4918381,-0.1593339,18382.42
University of North Dakota (ND)*,bang4buck,Midwest,187,,,,,,
Shaw University,bang4buck,Southeast,187,,,,,,
Texas A&M–San Antonio (TX)*,main,Master's Universities,187,43.0,1.04,0.0243362,0.6481611,-0.0955507,9468.045
Centenary College of Louisiana,bang4buck,South,187,,,,,,
Grand Valley State University (MI)*,main,National Universities,187,149.0,6.765333,0.1138315,0.6685683,-0.1225663,11460.29
Sweet Briar College,main,Liberal Arts Colleges,187,182.0,0.0,0.0754155,0.3879623,-0.0841073,20453.08
Barnard College,bang4buck,Northeast,187,,,,,,
Colorado Christian University,bang4buck,West,187,,,,,,
Thiel College,main,Bachelor's Colleges,188,191.0,0.0,0.0561781,0.502769,-0.2035247,20335.94
Hardin-Simmons University,bang4buck,South,188,,,,,,
South University–Montgomery (AL)°,bang4buck,Southeast,188,,,,,,
Wabash College,bang4buck,Midwest,188,,,,,,
Clarkson University,bang4buck,Northeast,188,,,,,,
American International College,main,National Universities,188,186.0,0.0,0.007698,0.4476191,0.0879911,23541.05
Hampden-Sydney College,main,Liberal Arts Colleges,188,181.0,0.0,0.0858017,0.6675573,-0.1052841,20068.27
Nazareth College,main,Master's Universities,188,452.0,0.0,0.1706721,0.6968714,-0.106416,25686.06
Western Colorado University (CO)*,bang4buck,West,188,,,,,,
Our Lady of the Lake San Antonio,bang4buck,South,189,,,,,,
Eckerd College,main,Liberal Arts Colleges,189,192.0,0.4563333,0.0160345,0.6546939,-0.0302311,29246.79
OK State University–Main (OK)*,main,National Universities,189,204.0,193.6333,0.0844963,0.6384709,-0.1631429,9652.988
Taylor University,bang4buck,Midwest,189,,,,,,
Hampton University,bang4buck,Southeast,189,,,,,,
Vassar College,bang4buck,Northeast,189,,,,,,
Bowie State University (MD)*,main,Master's Universities,189,89.0,2.238667,0.0631021,0.5091887,-0.0407017,13100.91
Montana State University (MT)*,bang4buck,West,189,,,,,,
Ecclesia College (AR)^^,main,Bachelor's Colleges,189,128.0,0.0,0.0,0.2814618,0.0550944,17076.14
Roberts Wesleyan University,bang4buck,Northeast,190,,,,,,
Young Harris College,main,Liberal Arts Colleges,190,194.0,0.0,0.4687107,0.4091732,-0.2265464,17492.85
Hanover College,bang4buck,Midwest,190,,,,,,
Southern Adventist University,bang4buck,South,190,,,,,,
University of Miami,bang4buck,Southeast,190,,,,,,
CUNY Queens College (NY)*,main,Master's Universities,190,84.0,17.989,0.0,0.5608605,-0.0356855,3220.742
Georgia Southern University (GA)*,main,National Universities,190,136.0,28.57633,0.0992133,0.5343887,-0.0893737,13999.9
University of TN–Southern (TN)*,main,Bachelor's Colleges,190,173.0,0.0,0.0,0.3913905,-0.1519006,16785.8
Chapman University,bang4buck,West,190,,,,,,
Ave Maria University,main,Liberal Arts Colleges,191,176.0,0.0,0.0,0.6731712,-0.0909683,16651.15
Faulkner University,bang4buck,Southeast,191,,,,,,
Western Kentucky University (KY)*,bang4buck,South,191,,,,,,
Nevada State University (NV)*,bang4buck,West,191,,,,,,
DigiPen Institute of Tech. (WA)°,main,Bachelor's Colleges,191,135.0,0.0,0.0,0.521811,-0.087816,33597.29
Univ. of SC–Columbia (SC)*,main,National Universities,191,246.0,221.4233,0.0282152,0.7565928,-0.1120232,15779.3
Morgan State University (MD)*,bang4buck,Northeast,191,,,,,,
Marietta College,bang4buck,Midwest,191,,,,,,
Georgia College & State Univ. (GA)*,main,Master's Universities,191,329.0,0.2443333,0.0599775,0.6347149,-0.0665304,17418.17
Roanoke College,bang4buck,Southeast,192,,,,,,
Marymount Manhattan College,main,Liberal Arts Colleges,192,187.0,0.0,0.0307549,0.5195406,-0.0417752,31331.36
Geneva College,main,Master's Universities,192,267.0,0.0,0.0072847,0.6922175,-0.0927237,15713.46
Dominican University of CA,bang4buck,West,192,,,,,,
Hilbert College,bang4buck,Northeast,192,,,,,,
Southern IL Univ.–Edwardsville (IL)*,bang4buck,Midwest,192,,,,,,
Harding University,bang4buck,South,192,,,,,,
Toccoa Falls College,main,Bachelor's Colleges,192,179.0,0.0,0.0,0.5056382,-0.0474706,20247.09
West Virginia University (WV)*,main,National Universities,192,285.0,200.8133,0.061881,0.6153557,-0.1478258,10553.25
ECPI University (VA)°,bang4buck,Southeast,193,,,,,,
Lyon College,main,Liberal Arts Colleges,193,189.0,0.0,0.1441876,0.4972336,-0.1362284,16653.55
John Carroll University,bang4buck,Midwest,193,,,,,,
Canisius University,bang4buck,Northeast,193,,,,,,
Salve Regina University,main,Master's Universities,193,252.0,0.676,0.0749605,0.7320594,-0.0540982,28678.46
Newschool of Arch. & Design (CA)^^,bang4buck,West,193,,,,,,
Grand Canyon University,main,National Universities,193,112.0,0.0,0.0152473,0.4354047,-0.1057406,19159.03
Univ. of Arkansas—Monticello (AR)*,bang4buck,South,193,,,,,,
Johnson & Wales U.–Charlotte,main,Bachelor's Colleges,193,147.0,0.0,0.0,0.5864344,-0.2202938,25703.87
Grand View University,bang4buck,Midwest,194,,,,,,
Maryville Univ. of Saint Louis,main,National Universities,194,95.0,0.0,0.04927,0.6054754,-0.0848342,22068.88
University of South Alabama (AL)*,bang4buck,Southeast,194,,,,,,
Brewton-Parker College,main,Bachelor's Colleges,194,196.0,0.0,0.1215649,0.2445157,-0.0349856,18786.92
East-West University,main,Liberal Arts Colleges,194,191.0,0.0,0.1165538,0.1436058,-0.183585,17724.71
University of Arizona–Global (AZ)*,bang4buck,West,194,,,,,,
Univ. of Wisconsin–Eau Claire (WI)*,main,Master's Universities,194,216.0,1.599333,0.097068,0.6457878,-0.1126119,12269.07
New York University,bang4buck,Northeast,194,,,,,,
Univ. of Mary Hardin–Baylor,bang4buck,South,194,,,,,,
Southern Utah University (UT)*,main,Master's Universities,195,226.0,0.858,0.0928178,0.5185617,-0.1182698,10325.78
University of Southern MS (MS)*,main,National Universities,195,209.0,70.73867,0.1727499,0.5177367,-0.1759147,12783.53
Miami Univ.–Hamilton (OH)*,bang4buck,Midwest,195,,,,,,
Brevard College,main,Bachelor's Colleges,195,198.0,0.0,0.1316443,0.4313223,-0.1221939,19344.8
Campbellsville University,bang4buck,South,195,,,,,,
SUNY College of Tech.–Canton (NY)*,bang4buck,Northeast,195,,,,,,
San Diego Christian College (CA)^^,bang4buck,West,195,,,,,,
Middle Georgia State Univ. (GA)*,bang4buck,Southeast,195,,,,,,
IN Univ.-Purdue U.–Indianapolis (IN)*,main,National Universities,196,220.0,66.75667,0.0912969,0.5299256,-0.1359159,8213.72
West Texas A&M University (TX)*,main,Master's Universities,196,124.0,8.526,0.1695621,0.5401036,-0.0975155,15808.09
Biola University,bang4buck,West,196,,,,,,
Greensboro College,bang4buck,Southeast,196,,,,,,
Schreiner University,bang4buck,South,196,,,,,,
Malone University,bang4buck,Midwest,196,,,,,,
Montreat College,main,Bachelor's Colleges,196,205.0,0.0,0.1878546,0.4355568,-0.092445,21891.58
Hampshire College,bang4buck,Northeast,196,,,,,,
Gardner-Webb University,bang4buck,Southeast,197,,,,,,
Cedarville University,bang4buck,Midwest,197,,,,,,
Seattle University,main,National Universities,197,265.0,1.838667,0.1001068,0.7725847,-0.0246121,27227.02
University of West Alabama (AL)*,main,Master's Universities,197,272.0,0.436,0.1281737,0.3712413,-0.0836957,15005.45
Univ. of Phoenix–Southern CA (CA)°,bang4buck,West,197,,,,,,
Point University,main,Bachelor's Colleges,197,186.0,0.0,0.0323155,0.4224101,-0.1448234,19269.54
Temple University (PA)*,bang4buck,Northeast,197,,,,,,
Millsaps College,bang4buck,South,197,,,,,,
American International College,bang4buck,Northeast,198,,,,,,
South University–Austin (TX)°,bang4buck,South,198,,,,,,
Miami Univ.–Middletown (OH)*,bang4buck,Midwest,198,,,,,,
Arizona Christian University,bang4buck,West,198,,,,,,
East Central University (OK)*,main,Master's Universities,198,111.0,0.3243333,0.1184918,0.425667,-0.0252902,8554.472
Carson-Newman College,main,National Universities,198,282.0,0.0,0.124583,0.5505239,-0.1226256,15972.29
Auburn University (AL)*,bang4buck,Southeast,198,,,,,,
South University–Austin (TX)°,main,Bachelor's Colleges,198,214.0,0.0,0.0,0.2681352,0.1089744,25445.86
Mercy College,bang4buck,Northeast,199,,,,,,
California Institute of the Arts,bang4buck,West,199,,,,,,
Glenville State College (WV)*,bang4buck,Southeast,199,,,,,,
Coe College,bang4buck,Midwest,199,,,,,,
Calumet College of Saint Joseph,main,Master's Universities,199,61.0,0.0,0.1322623,0.4596673,0.0570029,11948.66
Concordia University–Texas,bang4buck,South,199,,,,,,
William Peace University,main,Bachelor's Colleges,199,195.0,0.0,0.0316158,0.4692473,-0.1775101,21985.42
Univ. of NC–Wilmington (NC)*,main,National Universities,199,181.0,17.751,0.1129461,0.7227546,-0.0689259,15322.37
Judson University,bang4buck,Midwest,200,,,,,,
Central Connecticut State Univ. (CT)*,main,Master's Universities,200,184.0,1.307,0.1011674,0.5883086,-0.1048163,12716.6
University of West Georgia (GA)*,main,National Universities,200,180.0,0.396,0.0660732,0.4939355,-0.0689104,15266.76
Wright State U.–Lake Campus (OH)*,main,Bachelor's Colleges,200,188.0,0.0,0.0,0.2085979,-0.0828393,9926.663
Dallas Baptist University,bang4buck,South,200,,,,,,
Living Arts College (NC)°,bang4buck,Southeast,200,,,,,,
College of Our Lady of the Elms,bang4buck,Northeast,200,,,,,,
DeVry University–Ontario (CA)°,bang4buck,West,200,,,,,,
Academy of Art University (CA)°,bang4buck,West,201,,,,,,
Paul Smith's College (NY)^^,main,Bachelor's Colleges,201,203.0,0.0,0.0492984,0.5426988,-0.1277288,20038.92
Washington College,bang4buck,Northeast,201,,,,,,
Lubbock Christian University,bang4buck,South,201,,,,,,
Hollins University,bang4buck,Southeast,201,,,,,,
Dakota Wesleyan University,bang4buck,Midwest,201,,,,,,
University of Tennessee (TN)*,main,National Universities,201,263.0,320.3717,0.0322629,0.7067611,-0.1563812,14090.72
Naropa University,main,Master's Universities,201,191.0,0.0,0.0670759,0.5173777,0.1245014,22114.1
Southwestern Christian Univ.,main,Bachelor's Colleges,202,187.0,0.0,0.0,0.2836634,-0.0884019,17263.91
Clark Atlanta University,bang4buck,Southeast,202,,,,,,
Valley City State University (ND)*,bang4buck,Midwest,202,,,,,,
Waynesburg University,bang4buck,Northeast,202,,,,,,
Eastern Michigan University (MI)*,main,National Universities,202,214.0,8.115334,0.1354417,0.5350462,-0.146603,13912.68
University of Dallas,main,Master's Universities,202,448.0,0.271,0.2335913,0.6845426,-0.1346667,14927.94
Maryville College,bang4buck,South,202,,,,,,
Mount Saint Mary College,bang4buck,Northeast,203,,,,,,
University of Vermont (VT)*,main,National Universities,203,270.0,200.9247,0.0954877,0.7634701,-0.0542167,14577.68
Chadron State College (NE)*,bang4buck,Midwest,203,,,,,,
Austin Peay State University (TN)*,main,Master's Universities,203,178.0,2.907333,0.1870704,0.4447878,-0.1076978,13886.2
Marymount University,bang4buck,Southeast,203,,,,,,
Kentucky Christian University,main,Bachelor's Colleges,203,218.0,0.0,0.1564184,0.2940573,-0.0961547,21072.42
Union University,bang4buck,South,203,,,,,,
Living Arts College (NC)°,main,Bachelor's Colleges,204,175.0,0.0,0.0,0.4882895,-0.2070955,23214.13
Goldey-Beacom College,bang4buck,Northeast,204,,,,,,
Baylor University,bang4buck,South,204,,,,,,
University of Kansas (KS)*,main,National Universities,204,315.0,386.5717,0.0960478,0.6498737,-0.206901,15654.39
Purdue University Northwest (IN)*,bang4buck,Midwest,204,,,,,,
Drury University,main,Master's Universities,204,479.0,0.0,0.0,0.5943472,-0.0863519,15836.57
American Public Univ. System (WV)°,bang4buck,Southeast,204,,,,,,
Stonehill College,bang4buck,Northeast,205,,,,,,
University of MO–St. Louis (MO)*,bang4buck,Midwest,205,,,,,,
SD School of Mines & Tech. (SD)*,main,Master's Universities,205,254.0,16.76567,0.1413267,0.5212981,-0.0860048,18019.87
University of OK–Norman (OK)*,main,National Universities,205,195.0,0.0,0.0351543,0.6630502,-0.1221628,17191.13
Georgetown College,bang4buck,South,205,,,,,,
St. Andrews University,main,Bachelor's Colleges,205,201.0,0.0,0.0,0.3981136,-0.1547026,29904.81
Gallaudet University,bang4buck,Southeast,205,,,,,,
Reinhardt University,main,Bachelor's Colleges,206,199.0,0.0,0.0,0.4192652,-0.10913,23194.51
Dallas Christian College,bang4buck,South,206,,,,,,
Central Michigan University (MI)*,main,National Universities,206,170.0,21.42633,0.0503435,0.6190932,-0.1503589,12339.41
University of Montevallo (AL)*,main,Master's Universities,206,348.0,0.0,0.147689,0.538584,-0.0863068,16207.89
Florida Southern College,bang4buck,Southeast,206,,,,,,
North Dakota State Univ.–Main (ND)*,bang4buck,Midwest,206,,,,,,
Lincoln University–PA (PA)*,bang4buck,Northeast,206,,,,,,
Lindenwood University,bang4buck,Midwest,207,,,,,,
Mitchell College,main,Bachelor's Colleges,207,207.0,0.0,0.0864139,0.4621322,-0.1117219,23658.1
Toccoa Falls College,bang4buck,Southeast,207,,,,,,
Tarleton State University (TX)*,main,National Universities,207,184.0,17.55833,0.0657592,0.5903898,-0.0747271,17440.93
Marywood University,main,Master's Universities,207,241.0,0.0,0.0027418,0.6664697,-0.0688679,18677.9
Marywood University,bang4buck,Northeast,207,,,,,,
Louisiana Tech University (LA)*,bang4buck,South,207,,,,,,
Hallmark University,main,Bachelor's Colleges,208,194.0,0.0,0.0,0.4756978,-0.0894421,10801.82
Univ. of Northwestern–St. Paul,bang4buck,Midwest,208,,,,,,
LA State Univ.–Baton Rouge (LA)*,main,National Universities,208,234.0,309.3207,0.0845394,0.6909648,-0.1593066,15328.21
Kentucky Christian University,bang4buck,South,208,,,,,,
