school_name,wm_source,wm_category,wm_rank,wm_social_mobility_rank,wm_research_rank,wm_service_rank,wm_grad_rate_8yr,wm_pell_graduates,wm_net_price
Illinois Institute of Technology,main,National Universities,120,153.0,29.537,0.2303659,0.7428061,-0.0461775,19726.15
Adrian College,main,Bachelor's Colleges,120,112.0,0.0,0.0809708,0.4990747,-0.0428669,20676.62
Saint Vincent College,main,Liberal Arts Colleges,121,118.0,0.0,0.0491831,0.7375686,-0.1200804,17775.81
Columbus State University (GA)*,bang4buck,Southeast,121,,,,,,
Mount Mercy University,main,Master's Universities,121,71.0,0.0,0.1022127,0.6900839,-0.1265436,19363.11
Villa Maria College,bang4buck,Northeast,121,,,,,,
Barton College,main,Bachelor's Colleges,121,114.0,0.0,0.0631622,0.5520636,-0.0984514,20148.4
Colorado State University (CO)*,main,National Universities,121,156.0,437.1367,0.019431,0.714298,-0.1232486,12715.11
University of Wyoming (WY)*,bang4buck,West,121,,,,,,
Greenville University,bang4buck,Midwest,121,,,,,,
University of LA–Monroe (LA)*,bang4buck,South,121,,,,,,
Columbia International Univ.,bang4buck,Southeast,122,,,,,,
Texas Lutheran University,bang4buck,South,122,,,,,,
Thomas Aquinas College,main,Liberal Arts Colleges,122,59.0,0.0,0.0,0.8241957,-0.0579448,19812.44
University of ME–Presque Isle (ME)*,bang4buck,Northeast,122,,,,,,
Fort Hays State University (KS)*,bang4buck,Midwest,122,,,,,,
Salem State University (MA)*,main,Master's Universities,122,122.0,0.0,0.0608769,0.6349565,-0.0561309,15180.66
Old Dominion University (VA)*,main,National Universities,122,118.0,64.30434,0.0160268,0.5712001,-0.1078328,13874.17
California Baptist University,bang4buck,West,122,,,,,,
South Univ.–Virginia Beach (VA)°,main,Bachelor's Colleges,122,110.0,0.0,0.0,0.2735904,0.3,25551.19
Transylvania University,bang4buck,South,123,,,,,,
Stockton University (NJ)*,bang4buck,Northeast,123,,,,,,
Florida Gulf Coast University (FL)*,main,National Universities,123,89.0,8.254666,0.1403208,0.6219394,-0.0069581,7859.605
University of the Ozarks,main,Bachelor's Colleges,123,118.0,0.0,0.1282114,0.5125512,-0.1477543,12468.27
University of Phoenix–Phoenix (AZ)°,bang4buck,West,123,,,,,,
St. Catherine University,bang4buck,Midwest,123,,,,,,
Univ. of WI–Stevens Point (WI)*,main,Master's Universities,123,123.0,4.301667,0.0542922,0.6200027,-0.0812057,10792.39
Holy Cross College,main,Liberal Arts Colleges,123,100.0,0.0,0.1339088,0.4970118,0.0913399,14814.99
Wofford College,bang4buck,Southeast,123,,,,,,
Scripps College,bang4buck,West,124,,,,,,
Portland State University (OR)*,main,National Universities,124,81.0,42.15367,0.0043176,0.5334235,-0.0450762,13208.18
Carleton College,bang4buck,Midwest,124,,,,,,
Coppin State University (MD)*,main,Master's Universities,124,138.0,0.2996667,0.0314353,0.4087926,-0.0834003,7931.049
SUNY Purchase College (NY)*,bang4buck,Northeast,124,,,,,,
Univ. of TN–Chattanooga (TN)*,bang4buck,South,124,,,,,,
College of Charleston (SC)*,bang4buck,Southeast,124,,,,,,
Luther College,main,Liberal Arts Colleges,124,157.0,0.2886667,0.0700554,0.7685033,-0.1442143,20319.33
Averett University,main,Bachelor's Colleges,124,163.0,0.0,0.2033309,0.490978,-0.1484368,24769.92
Auburn Univ.–Montgomery (AL)*,bang4buck,Southeast,125,,,,,,
Augustana University,main,Master's Universities,125,416.0,0.925,0.214758,0.7025722,-0.1316134,21632.54
Warner Pacific Univ. Adult Prog.,main,Bachelor's Colleges,125,79.0,0.0,0.0,0.6192857,-0.4666667,14477.0
Baker University,bang4buck,Midwest,125,,,,,,
Colorado College,bang4buck,West,125,,,,,,
West Chester University of PA (PA)*,main,National Universities,125,111.0,5.583333,0.0993824,0.7459593,-0.1062419,15428.39
Dillard University,bang4buck,South,125,,,,,,
Elmira College,bang4buck,Northeast,125,,,,,,
Johnson C. Smith University,main,Liberal Arts Colleges,126,122.0,2.578333,0.0,0.4234391,-0.0847887,18485.34
South Carolina State University (SC)*,main,Master's Universities,126,303.0,3.999667,0.0811022,0.3741693,-0.1026796,19146.35
LA State Univ.–Alexandria (LA)*,main,Bachelor's Colleges,126,89.0,0.0,0.0482032,0.3386762,-0.058744,6289.113
University of WI–Parkside (WI)*,bang4buck,Midwest,126,,,,,,
Lycoming College,bang4buck,Northeast,126,,,,,,
South Carolina State University (SC)*,bang4buck,Southeast,126,,,,,,
University of North Texas (TX)*,main,National Universities,126,64.0,86.343,0.0253904,0.5985129,-0.0316549,10743.31
Southwestern OK State Univ. (OK)*,bang4buck,South,126,,,,,,
Willamette University,bang4buck,West,126,,,,,,
University of Colorado–Boulder (CO)*,bang4buck,West,127,,,,,,
Wartburg College,main,Liberal Arts Colleges,127,169.0,0.0,0.2780298,0.6619773,-0.1755956,17947.64
Emory and Henry College,main,Master's Universities,127,229.0,0.0,0.03093,0.5924412,-0.1503235,17191.69
Converse College,bang4buck,Southeast,127,,,,,,
Belhaven University,bang4buck,South,127,,,,,,
Univ. of Wisconsin–River Falls (WI)*,bang4buck,Midwest,127,,,,,,
Culver-Stockton College,main,Bachelor's Colleges,127,116.0,0.0,0.0790257,0.5478175,-0.0682758,19284.5
Simmons University,main,National Universities,127,199.0,0.5863333,0.0994319,0.8143421,-0.0499009,17447.47
Salisbury University (MD)*,bang4buck,Northeast,127,,,,,,
Corban University,bang4buck,West,128,,,,,,
Rogers State University (OK)*,bang4buck,South,128,,,,,,
Hilbert College,main,Bachelor's Colleges,128,85.0,0.0,0.0402456,0.6025381,-0.1620061,14079.69
Illinois State University (IL)*,main,National Universities,128,120.0,27.067,0.1146027,0.718583,-0.1787181,15339.03
Randolph College,main,Liberal Arts Colleges,128,135.0,0.0,0.0512229,0.5696146,-0.1138973,19843.11
Centenary University,bang4buck,Northeast,128,,,,,,
Dordt University,bang4buck,Midwest,128,,,,,,
Stetson University,bang4buck,Southeast,128,,,,,,
Heidelberg University,main,Master's Universities,128,517.0,1.344667,0.266794,0.4997688,-0.1169416,18427.65
Spalding University,bang4buck,South,129,,,,,,
