id,prog_agriculture,prog_resources,prog_architecture,prog_ethnic_cultural_gender,prog_communication,prog_communications_technology,prog_computer,prog_personal_culinary,prog_education,prog_engineering,prog_engineering_technology,prog_language,prog_family_consumer_science,prog_legal,prog_english,prog_humanities,prog_library,prog_biological,prog_mathematics,prog_military,prog_multidiscipline,prog_parks_recreation_fitness,prog_philosophy_religious,prog_theology_religious_vocation,prog_physical_science,prog_science_technology,prog_psychology,prog_security_law_enforcement,prog_public_administration_social_service,prog_social_science,prog_construction,prog_mechanic_repair_technology,prog_precision_production,prog_transportation,prog_visual_performing,prog_health,prog_business_marketing,prog_history,programs_offered,top_programs
101301,0.0,0.0,0.0,0.0,0.0,0.0,0.0369,0.0253,0.0,0.0,0.0138,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0346,0.0161,0.1728,0.0,0.0,0.1912,0.0392,0.0,"Business & Marketing, Computer Science, Construction Trades, Culinary/Personal Services, Engineering Technology, Health Professions, Liberal Arts/Humanities, Mechanic & Repair, Precision Production","Liberal Arts/Humanities (47%), Health Professions (19%), Precision Production (17%)"
101365,0.0,0.0,0.0,0.0,0.0,0.0,0.0205,0.0,0.0,0.0,0.0,0.0,0.0,0.0082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8975,0.0697,0.0,"Business & Marketing, Computer Science, Health Professions, Legal Studies, Security & Law Enforcement","Health Professions (90%), Business & Marketing (7%), Computer Science (2%)"
101435,0.0,0.0,0.0,0.0,0.0289,0.0,0.0,0.0,0.0925,0.0,0.0,0.0,0.0,0.0,0.0173,0.0,0.0,0.1908,0.0173,0.0,0.0,0.1965,0.0058,0.0,0.0058,0.0,0.0462,0.0578,0.0,0.0116,0.0,0.0,0.0,0.0,0.0116,0.0289,0.2312,0.0578,"Biological Sciences, Business & Marketing, Communication, Education, English, Health Professions, History, Mathematics & Statistics, Parks, Recreation & Fitness, Philosophy & Religious Studies, Physical Sciences, Psychology, Security & Law Enforcement, Social Sciences, Visual & Performing Arts","Business & Marketing (23%), Parks, Recreation & Fitness (20%), Biological Sciences (19%)"
101453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Theology,Theology (100%)
101462,0.0,0.0,0.0,0.0,0.0,0.0,0.0352,0.2111,0.0,0.0,0.3618,0.0,0.0,0.0,0.0,0.0151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.3116,0.0603,0.0,"Business & Marketing, Computer Science, Construction Trades, Culinary/Personal Services, Engineering Technology, Health Professions, Liberal Arts/Humanities","Engineering Technology (36%), Health Professions (31%), Culinary/Personal Services (21%)"
101471,0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0905,0.0,0.0,0.0414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2907,0.2984,0.1588,0.0,0.0,0.0,0.1088,0.0,"Agriculture, Business & Marketing, Construction Trades, Culinary/Personal Services, Engineering Technology, Mechanic & Repair, Precision Production","Mechanic & Repair (30%), Construction Trades (29%), Precision Production (16%)"
101480,0.0,0.0,0.0,0.0,0.022,0.0,0.0334,0.0,0.1519,0.0,0.039,0.0007,0.0199,0.0,0.0114,0.0738,0.0,0.0497,0.0021,0.0,0.0,0.0248,0.0,0.0,0.0064,0.0,0.0213,0.0809,0.0341,0.0199,0.0,0.0,0.0,0.0,0.0554,0.2271,0.1228,0.0035,"Biological Sciences, Business & Marketing, Communication, Computer Science, Education, Engineering Technology, English, Family & Consumer Science, Foreign Languages, Health Professions, History, Liberal Arts/Humanities, Mathematics & Statistics, Parks, Recreation & Fitness, Physical Sciences, Psychology, Public Administration, Security & Law Enforcement, Social Sciences, Visual & Performing Arts","Health Professions (23%), Education (15%), Business & Marketing (12%)"
101505,0.0165,0.0,0.0,0.0,0.0,0.0,0.0463,0.0774,0.0,0.0,0.092,0.0,0.0179,0.0,0.0,0.3633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2091,0.1655,0.0,"Agriculture, Business & Marketing, Computer Science, Culinary/Personal Services, Engineering Technology, Family & Consumer Science, Health Professions, Liberal Arts/Humanities, Security & Law Enforcement","Liberal Arts/Humanities (36%), Health Professions (21%), Business & Marketing (17%)"
101514,0.0,0.0,0.0,0.0,0.0,0.0,0.0715,0.0,0.0,0.0,0.1388,0.0,0.0109,0.0,0.0,0.5109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0003,0.0262,0.0,0.0,0.0085,0.1838,0.0485,0.0,"Business & Marketing, Computer Science, Construction Trades, Engineering Technology, Family & Consumer Science, Health Professions, Liberal Arts/Humanities, Mechanic & Repair, Security & Law Enforcement, Visual & Performing Arts","Liberal Arts/Humanities (51%), Health Professions (18%), Engineering Technology (14%)"
101569,0.0,0.0,0.0,0.0,0.0,0.0098,0.0262,0.0557,0.0,0.0,0.1639,0.0,0.0426,0.0,0.0,0.2656,0.0,0.0,0.0,0.0,0.0295,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0016,0.0,0.0311,0.0803,0.0475,0.0,0.0164,0.1426,0.0852,0.0,"Business & Marketing, Communications Technology, Computer Science, Construction Trades, Culinary/Personal Services, Engineering Technology, Family & Consumer Science, Health Professions, Liberal Arts/Humanities, Mechanic & Repair, Multidisciplinary Studies, Precision Production, Public Administration, Security & Law Enforcement, Visual & Performing Arts","Liberal Arts/Humanities (27%), Engineering Technology (16%), Health Professions (14%)"
101587,0.0,0.0,0.0,0.0,0.0678,0.0,0.0,0.0,0.2312,0.0,0.0352,0.0,0.0,0.0,0.0101,0.0,0.0,0.0327,0.0176,0.0,0.1633,0.0402,0.0,0.0,0.0,0.0,0.0754,0.0101,0.0,0.0075,0.0,0.0,0.0,0.0,0.0025,0.1658,0.1307,0.0101,"Biological Sciences, Business & Marketing, Communication, Education, Engineering Technology, English, Health Professions, History, Mathematics & Statistics, Multidisciplinary Studies, Parks, Recreation & Fitness, Psychology, Security & Law Enforcement, Social Sciences, Visual & Performing Arts","Education (23%), Health Professions (17%), Multidisciplinary Studies (16%)"
101602,0.0,0.0305,0.0,0.0,0.0,0.0,0.0305,0.0915,0.0,0.0,0.0,0.0,0.0271,0.0,0.0,0.2237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1881,0.1661,0.0,0.0,0.2203,0.022,0.0,"Business & Marketing, Computer Science, Culinary/Personal Services, Family & Consumer Science, Health Professions, Liberal Arts/Humanities, Mechanic & Repair, Natural Resources, Precision Production","Liberal Arts/Humanities (22%), Health Professions (22%), Mechanic & Repair (19%)"
101648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liberal Arts/Humanities,Liberal Arts/Humanities (100%)
101675,0.0,0.0,0.0,0.0,0.1103,0.0,0.0414,0.0,0.0207,0.0,0.0,0.0,0.0552,0.0,0.0207,0.0,0.0,0.0552,0.0,0.0,0.0,0.0,0.0,0.0,0.0069,0.0,0.0483,0.1379,0.1172,0.0345,0.0,0.0,0.0,0.0,0.0207,0.0,0.3034,0.0276,"Biological Sciences, Business & Marketing, Communication, Computer Science, Education, English, Family & Consumer Science, History, Physical Sciences, Psychology, Public Administration, Security & Law Enforcement, Social Sciences, Visual & Performing Arts","Business & Marketing (30%), Security & Law Enforcement (14%), Public Administration (12%)"
101693,0.0,0.0,0.0,0.0,0.0195,0.0,0.0117,0.0,0.1406,0.0078,0.0,0.0,0.0156,0.0,0.0234,0.0273,0.0,0.0195,0.0039,0.0,0.0117,0.1094,0.0156,0.0273,0.0,0.0,0.0586,0.0,0.0,0.0352,0.0,0.0,0.0,0.0,0.1172,0.1563,0.1719,0.0273,"Biological Sciences, Business & Marketing, Communication, Computer Science, Education, Engineering, English, Family & Consumer Science, Health Professions, History, Liberal Arts/Humanities, Mathematics & Statistics, Multidisciplinary Studies, Parks, Recreation & Fitness, Philosophy & Religious Studies, Psychology, Social Sciences, Theology, Visual & Performing Arts","Business & Marketing (17%), Health Professions (16%), Education (14%)"
101709,0.0,0.0273,0.0,0.0,0.0455,0.0,0.0182,0.0,0.0773,0.0,0.0,0.0023,0.0205,0.0,0.0727,0.0,0.0,0.0455,0.0182,0.0,0.0,0.0864,0.0,0.0,0.0091,0.0,0.0455,0.0,0.0318,0.0523,0.0,0.0,0.0,0.0,0.1591,0.05,0.2159,0.0227,"Biological Sciences, Business & Marketing, Communication, Computer Science, Education, English, Family & Consumer Science, Foreign Languages, Health Professions, History, Mathematics & Statistics, Natural Resources, Parks, Recreation & Fitness, Physical Sciences, Psychology, Public Administration, Social Sciences, Visual & Performing Arts","Business & Marketing (22%), Visual & Performing Arts (16%), Parks, Recreation & Fitness (9%)"
